@relation 'train1_data-weka.filters.unsupervised.attribute.Remove-R1-2,13-weka.filters.unsupervised.attribute.Remove-R1,5-6-weka.filters.unsupervised.attribute.Remove-R4,6'

@attribute Year numeric
@attribute Kilometers_Driven numeric
@attribute Fuel_Type {CNG,Diesel,Petrol,LPG,Electric}
@attribute Engine {'998 CC','1582 CC','1199 CC','1248 CC','1968 CC','814 CC','1461 CC','2755 CC','1598 CC','1462 CC','1497 CC','2179 CC','2477 CC','1498 CC','2143 CC','1995 CC','1984 CC','1197 CC','2494 CC','1798 CC','2696 CC','2698 CC','1061 CC','1198 CC','2987 CC','796 CC','624 CC','1999 CC','1991 CC','2694 CC','1120 CC','2498 CC','799 CC','2393 CC','1399 CC','1796 CC','2148 CC','1396 CC','1950 CC','4806 CC','1998 CC','1086 CC','1193 CC','2982 CC','1493 CC','2967 CC','2993 CC','1196 CC','1799 CC','2497 CC','2354 CC','1373 CC','2996 CC','1591 CC','2894 CC','5461 CC','1595 CC','936 CC','1997 CC',0,'1896 CC','1390 CC','1364 CC','2199 CC','993 CC','999 CC','1405 CC','2956 CC','1794 CC','995 CC','2496 CC','1599 CC','2400 CC','1495 CC','2523 CC','793 CC','4134 CC','1596 CC','1395 CC','2953 CC','1586 CC','2362 CC','1496 CC','1368 CC','1298 CC','1956 CC','1299 CC','3498 CC','2835 CC','1150 CC','3198 CC','1343 CC','1499 CC','1186 CC','1590 CC','2609 CC','2499 CC','2446 CC','1978 CC','2360 CC','3436 CC','2198 CC','4367 CC','2706 CC','1422 CC','2979 CC','1969 CC','1489 CC','2489 CC','1242 CC','1388 CC','1172 CC','2495 CC','1194 CC','3200 CC','1781 CC','1341 CC','2773 CC','3597 CC','1985 CC','2147 CC','1047 CC','2999 CC','2995 CC','2997 CC','1948 CC','2359 CC','4395 CC','2349 CC','2720 CC','1468 CC','3197 CC','2487 CC','1597 CC','2771 CC','72 CC','4951 CC','970 CC','2925 CC','2200 CC','5000 CC','2149 CC','5998 CC','2092 CC','5204 CC','2112 CC','1797 CC'}
@attribute Seats numeric
@attribute Price numeric

@data
2016,20000,Diesel,'1248 CC',5,9
2016,61012,Petrol,'1197 CC',5,6
2009,87459,Petrol,'1390 CC',5,2.75
2010,70500,Petrol,'1193 CC',5,1.5
2015,64103,Diesel,'1968 CC',5,19.9
2014,76000,Petrol,'1798 CC',5,10
2014,104000,Diesel,'1364 CC',5,3
2010,42001,Petrol,0,0,2.11
2014,37245,Petrol,'1595 CC',5,11.96
2013,45000,Diesel,'1498 CC',5,3.25
2012,117837,Diesel,'1582 CC',5,4.75
2014,30000,Diesel,'1461 CC',5,5.95
2015,27057,Petrol,'1591 CC',5,8.15
2016,8500,Petrol,'998 CC',5,4.22
2010,30500,Petrol,'1796 CC',5,10.5
2012,56000,Diesel,'2967 CC',5,45
2012,44000,Petrol,'1086 CC',5,2.9
2017,10500,Petrol,'1598 CC',5,8.9
2017,26000,Petrol,'1798 CC',5,26
2018,25166,Petrol,'1197 CC',5,8.22
2014,64000,Diesel,'1498 CC',5,3.5
2004,61000,Petrol,'998 CC',5,1.25
2013,107000,Diesel,'1461 CC',5,3.7
2018,29161,Diesel,'2143 CC',5,39.41
2013,32000,Petrol,'998 CC',5,2.65
2015,46173,Diesel,'1461 CC',5,8.92
2013,47000,Diesel,'1248 CC',5,4.1
2017,26327,Petrol,'1998 CC',4,35.67
2015,70436,Diesel,'1498 CC',0,3.6
2007,200000,Diesel,'1396 CC',5,0.85
2016,60813,Petrol,'1199 CC',5,3.32
2012,45000,Diesel,'1199 CC',5,3.6
2016,64000,Diesel,'1248 CC',5,6.8
2012,41284,Diesel,'1399 CC',5,2.5
2019,14165,Diesel,'2755 CC',7,19.64
2011,67000,Diesel,'2199 CC',7,7
2011,32572,Petrol,'1497 CC',5,3.87
2018,14960,Petrol,'1197 CC',5,6.27
2015,55980,Diesel,'2143 CC',5,18.12
2013,74000,Diesel,'936 CC',5,2.65
2015,56847,Diesel,'1396 CC',5,7.2
2015,121374,Diesel,'2494 CC',7,14.3
2013,52000,Diesel,'1248 CC',7,6.9
2014,118000,Diesel,'2494 CC',7,10.75
2007,72000,Petrol,'1086 CC',5,0.95
2016,33915,Petrol,'1497 CC',5,8.09
2014,82002,Diesel,'1995 CC',5,18.5
2017,33000,Diesel,'1120 CC',5,4.75
2016,34000,Diesel,'1248 CC',5,8.45
2012,55000,Diesel,'1598 CC',5,3.5
2006,160538,Diesel,'1493 CC',5,1.8
2014,60000,Diesel,'1498 CC',5,3.7
2017,49575,Petrol,'1199 CC',5,7.17
2010,83000,Petrol,'1086 CC',5,1.75
2018,51346,Diesel,'1995 CC',5,21.99
2017,43000,Diesel,'2393 CC',7,18.65
2011,35000,Petrol,'796 CC',5,1.85
2017,27872,Petrol,'1197 CC',5,5.95
2014,16514,Petrol,'1197 CC',5,3.75
2012,120000,Diesel,'1248 CC',5,3.75
2008,143275,Diesel,'1582 CC',5,2.6
2006,99000,Petrol,'1086 CC',5,1.75
2010,52000,Petrol,'1197 CC',5,2.8
2017,29819,Diesel,'2987 CC',5,61.29
2014,57000,Diesel,'2148 CC',5,18
2014,88500,Diesel,'1248 CC',5,4.35
2016,28000,Diesel,'1582 CC',5,13.75
2010,67000,Petrol,'998 CC',5,2
2016,26000,Diesel,'1461 CC',5,10
2010,120000,Diesel,'1248 CC',5,1.65
2017,51982,Diesel,'2993 CC',5,45.77
2010,36000,Petrol,'1197 CC',5,3.25
2016,47000,Diesel,'2494 CC',7,12.8
2002,60000,Petrol,'993 CC',5,0.55
2018,31025,Diesel,'1248 CC',5,7.15
2013,105000,Diesel,'2179 CC',8,7
2017,121900,Diesel,'1248 CC',5,3.75
2017,22695,Petrol,'999 CC',5,8.5
2012,73000,Diesel,'1248 CC',5,4.35
2016,32227,Petrol,'796 CC',5,3.26
2011,55000,Petrol,'1497 CC',5,4.21
2018,11287,Diesel,'2967 CC',7,70.36
2009,48000,Diesel,'1896 CC',5,2.95
2012,54308,Petrol,'1591 CC',5,4.28
2009,78442,Petrol,'1497 CC',5,3.57
2013,46000,Diesel,'1396 CC',5,3.11
2014,45051,Petrol,'1396 CC',5,5.96
2011,69000,Diesel,'1598 CC',5,4.7
2014,49000,Petrol,'1497 CC',5,6.9
2018,45000,Diesel,'1248 CC',5,5.25
2015,64000,Diesel,'1995 CC',5,28
2009,60000,Petrol,'1061 CC',5,1.35
2015,62178,Petrol,'1199 CC',5,4.85
2012,58006,Diesel,'1896 CC',5,6.7
2010,74000,Petrol,'1197 CC',5,3.1
2015,77771,Diesel,'2143 CC',5,18.64
2012,45275,Petrol,'1197 CC',5,2.8
2016,48000,Diesel,'2393 CC',7,20.25
2015,31652,Diesel,'1968 CC',5,26.78
2010,109000,Diesel,'2494 CC',7,8.26
2015,31978,Petrol,'1198 CC',5,3.89
2011,70000,Petrol,'998 CC',5,2.1
2017,15000,Petrol,'1497 CC',5,12.69
2013,59138,Diesel,'1405 CC',5,2.58
2014,61726,Diesel,'1968 CC',5,20.77
2015,48000,Diesel,'2143 CC',5,20.26
2006,58000,Petrol,'1086 CC',5,1.5
2011,60020,Diesel,'1248 CC',5,2.5
2014,77815,Petrol,'998 CC',5,4.25
2017,29000,Diesel,'2143 CC',5,57
2017,44000,Diesel,'2179 CC',5,44
2011,108626,Diesel,'1598 CC',5,3.65
2012,71791,Petrol,'796 CC',5,2.05
2012,91931,Petrol,'1198 CC',5,3.13
2000,158000,Diesel,'2956 CC',7,1.5
2012,91183,Diesel,'1248 CC',5,2.85
2012,65000,Petrol,'998 CC',5,2.65
2015,88428,Diesel,'2179 CC',7,10.6
2008,138000,Diesel,'1396 CC',5,1.25
2018,18000,Petrol,'1373 CC',7,8.25
2011,60000,Petrol,'2354 CC',5,4.45
2012,48000,Diesel,'1248 CC',5,3.7
2009,160000,Diesel,'1399 CC',5,2.8
2008,40000,Petrol,'1497 CC',5,1.8
2014,51495,Diesel,'1968 CC',5,21.95
2011,30000,Diesel,'2993 CC',4,49
2017,97430,Diesel,'2967 CC',7,62.67
2008,42496,CNG,'998 CC',5,1.4
2012,83000,Diesel,'1396 CC',5,5.5
2009,37000,Petrol,'1197 CC',5,2.95
2016,28503,Petrol,'1199 CC',5,6.86
2015,76496,Diesel,'1248 CC',5,6.15
2011,79152,Petrol,'1197 CC',5,3.3
2011,32000,Petrol,'1198 CC',5,2.55
2009,35000,Petrol,'796 CC',5,1.5
2004,105000,Petrol,'1794 CC',5,2.5
2006,56000,Petrol,'796 CC',5,1.4
2012,73000,Diesel,'1248 CC',5,3.4
2012,38000,Petrol,'796 CC',5,2.25
2013,775000,Diesel,'1968 CC',5,7.5
2008,80000,Petrol,'1794 CC',5,2.8
2016,24973,Petrol,'1197 CC',5,7.66
2016,45000,Diesel,'1248 CC',5,7.15
2010,87430,Petrol,'1497 CC',5,3.5
2014,133944,Diesel,'1248 CC',5,3.5
2013,57000,Diesel,'1498 CC',5,3.45
2016,27904,Petrol,'814 CC',5,3.55
2015,30717,Diesel,'1995 CC',5,25.99
2012,80000,Diesel,'1582 CC',5,5.25
2013,47304,Diesel,'1248 CC',5,2.9
2005,100000,Petrol,'1984 CC',5,2.05
2017,30000,Petrol,'998 CC',5,3.75
2014,68000,Diesel,'1498 CC',5,6.75
2011,21000,Petrol,'995 CC',5,0.95
2017,21000,Diesel,'1999 CC',5,52
2007,119000,Petrol,'1997 CC',5,3.91
2019,13747,Petrol,'1798 CC',5,27.3
2009,620000,Petrol,'1197 CC',5,2.7
2013,70000,Diesel,'1248 CC',5,3.5
2016,18000,Petrol,'1197 CC',5,6.2
2011,83000,Diesel,'1461 CC',5,2.75
2015,130000,Diesel,'1248 CC',5,3.25
2012,63400,Diesel,'1399 CC',5,3.25
2003,65000,Petrol,'993 CC',5,0.65
2017,8350,Petrol,'1998 CC',5,35
2014,45000,Diesel,'1364 CC',5,3.25
2018,26200,Petrol,'796 CC',5,2.9
2011,11000,Petrol,'796 CC',5,2.9
2009,90000,Diesel,'2993 CC',5,17.75
2015,74000,Petrol,'2496 CC',5,8.25
2015,37081,Petrol,'1197 CC',5,5.77
2017,39000,Diesel,'1248 CC',5,9.49
2008,99000,Diesel,'2967 CC',7,12.95
2015,38000,Diesel,'2143 CC',5,20
2007,72000,Petrol,'796 CC',4,1
2015,93000,Diesel,'1461 CC',5,7.1
2017,5900,Diesel,'1364 CC',5,16.5
2014,25000,Diesel,'2148 CC',5,26
2010,68000,Diesel,'1248 CC',5,3.2
2017,35676,Petrol,'1497 CC',7,9.48
2015,74310,Diesel,'1120 CC',5,4
2014,59364,Diesel,'2143 CC',5,26.5
2014,41380,Petrol,'1595 CC',5,11.77
2017,33900,Diesel,'2143 CC',5,37
2016,28000,Petrol,'1497 CC',5,8.75
2007,50958,Petrol,'1086 CC',5,1.95
2011,93982,Petrol,'1497 CC',5,3.75
2010,95000,Petrol,'1599 CC',5,2.5
2017,9000,Petrol,'1999 CC',5,34.5
2015,52516,Petrol,'1198 CC',5,4.65
2015,20000,Petrol,'1598 CC',4,32
2017,56451,Diesel,'2987 CC',5,62.81
2014,37000,Petrol,'814 CC',5,3.25
2014,17400,Petrol,'998 CC',5,3.1
2011,90207,Diesel,'1248 CC',5,3.91
2011,89616,Diesel,'1995 CC',5,11
2014,85000,Diesel,'2179 CC',5,3.5
2014,79271,Diesel,'1968 CC',5,16.5
2012,56000,Diesel,'2179 CC',5,30
2010,85001,Diesel,'2987 CC',7,28
2018,12000,Diesel,'2477 CC',7,28
2010,125000,Petrol,'796 CC',5,0.92
2013,53000,Petrol,'1061 CC',5,2.75
2017,34990,Diesel,'2179 CC',5,53.83
2011,49768,Petrol,'1591 CC',5,4.95
2013,56000,Diesel,'2993 CC',5,33.5
2013,75000,Diesel,'2993 CC',5,27.95
2010,57000,Petrol,'1798 CC',5,7.25
2017,37542,Diesel,'1968 CC',5,25.71
2014,95649,Diesel,'2179 CC',5,29.67
2013,35299,Diesel,'2143 CC',5,19
2017,28464,Diesel,'2179 CC',7,13.05
2015,41000,Diesel,'1995 CC',5,25.5
2017,9000,Petrol,'1497 CC',7,8.5
2010,92098,Diesel,'2400 CC',5,7.25
2005,5834,Petrol,'1495 CC',5,0.8
2017,40250,Petrol,'1197 CC',5,6.9
2018,22397,Petrol,'2996 CC',5,70.99
2015,20800,Petrol,'814 CC',5,2.25
2018,40322,Petrol,'1197 CC',5,5.5
2013,52576,Petrol,'1493 CC',5,4.35
2010,55000,Petrol,'1198 CC',5,2.25
2016,47000,Petrol,'1798 CC',5,24.5
2010,42021,Diesel,'1968 CC',5,5.45
2017,23163,Petrol,'1591 CC',5,12.03
2011,50000,Petrol,'1796 CC',5,8.5
2014,11900,Petrol,'1998 CC',4,28.5
2006,108000,Petrol,'1086 CC',5,1.2
2013,37000,Diesel,'1364 CC',5,5.75
2014,30000,Petrol,'1198 CC',5,3.2
2018,12831,Petrol,'1197 CC',5,9.89
2012,143017,Diesel,'1968 CC',5,6.58
2018,13102,Petrol,'814 CC',5,4.06
2019,24950,Diesel,'1461 CC',5,13.37
2011,57832,Diesel,'2993 CC',5,25.82
2016,34267,Petrol,'796 CC',5,3.74
2015,33000,Diesel,'1984 CC',5,22
2007,55100,Petrol,'998 CC',5,1.45
2008,40000,Petrol,'1497 CC',5,2
2017,31841,CNG,'1196 CC',5,4.7
2014,15000,Petrol,'1399 CC',8,3.75
2016,82756,Diesel,'2523 CC',7,7.7
2012,50243,Petrol,'1086 CC',5,3.35
2014,20600,Petrol,'814 CC',5,2.6
2017,29952,Petrol,'1591 CC',5,13.77
2017,15000,Petrol,'1598 CC',5,7.1
2008,61938,Petrol,'1799 CC',5,2.65
2014,67000,Diesel,'1248 CC',5,2.5
2013,61672,Diesel,'2179 CC',7,7.53
2017,26185,Petrol,'1197 CC',5,7.98
2014,38000,Diesel,'1968 CC',5,39
2011,67000,Petrol,'1197 CC',5,2.25
2010,66000,Petrol,'1999 CC',5,3.85
2015,80883,Diesel,'2494 CC',7,13.5
2016,80219,Diesel,'793 CC',5,3.5
2018,12923,Diesel,'1248 CC',5,8.92
2016,86642,Diesel,'1968 CC',5,20.37
2016,19235,Diesel,'1995 CC',5,36.5
2016,51002,Diesel,'4134 CC',7,48.91
2016,6800,Petrol,'1197 CC',5,7.2
2012,82749,Diesel,'1461 CC',5,5.99
2016,51000,Diesel,'1120 CC',5,5.25
2014,31465,Diesel,'1498 CC',5,6.5
2013,76476,Petrol,'1198 CC',5,4.4
2017,14000,Diesel,'1120 CC',5,4.6
2013,47000,Diesel,'1248 CC',5,2.95
2011,48466,Petrol,'1497 CC',5,3.26
2008,46000,Petrol,'1086 CC',5,2.22
2012,162663,Diesel,'2494 CC',7,10.5
2017,25142,Diesel,'1248 CC',5,8.26
2013,69000,Diesel,'2982 CC',7,14.45
2009,80524,Petrol,'1596 CC',5,2.5
2018,26405,Petrol,'1950 CC',5,51.43
2014,45000,Diesel,'2148 CC',5,23
2012,64284,Diesel,'1968 CC',5,5.5
2015,27000,Petrol,'1197 CC',5,4.5
2018,3678,Petrol,'1196 CC',5,6.8
2013,21000,Petrol,'1395 CC',5,8.75
2015,67000,Diesel,'1461 CC',5,7
2015,24000,Diesel,'1999 CC',5,33.5
2011,75000,Diesel,'1399 CC',5,2.25
2008,179000,Diesel,'2953 CC',7,4.24
2017,47198,Diesel,'2982 CC',7,28.42
2012,52000,Diesel,'1199 CC',5,2.75
2011,91000,Diesel,'1248 CC',5,3
2013,60000,Diesel,'1461 CC',5,3.55
2013,37873,Diesel,'1582 CC',5,4.8
2011,31000,Petrol,'2497 CC',5,13.5
2017,129000,Diesel,'2987 CC',7,56
2004,78000,Petrol,'2354 CC',5,3.99
2016,32000,Diesel,'1582 CC',5,15.5
2010,59000,Petrol,'1086 CC',5,2.32
2016,35437,Diesel,'2143 CC',5,18.58
2014,98000,Petrol,'1373 CC',7,5.5
2006,72000,Diesel,'1896 CC',5,3.2
2015,79000,Petrol,'1198 CC',5,4
2004,29000,Petrol,'993 CC',5,1.6
2013,66012,Petrol,'1586 CC',5,4.15
2014,35000,Petrol,'1198 CC',5,4.25
2011,75000,Petrol,'998 CC',5,2.6
2008,80000,Petrol,'2362 CC',5,3.43
2012,32717,Petrol,'1199 CC',5,2.55
